symbol,open,high,low,close,change_percent,volume,traded_amount
RLEL,853.0,890.0,853.0,890.0,4.09,10283.0,8976033.7
RLFL,442.1,476.0,442.0,449.0,0.0,17082.0,7622647.8
RMF1,9.6,9.99,9.6,9.6,0.31,23325.0,229379.6
RMF2,10.1,10.1,10.07,10.1,0.0,5300.0,53527.0
RNLI,426.4,428.0,422.5,427.0,0.14,12809.0,5463483.5
RSDC,637.1,644.0,631.1,632.0,-2.02,3919.0,2483122.8
RSML,2420.0,2605.0,2420.0,2556.0,0.39,19819.0,51036013.4
RSY,10.39,10.5,10.39,10.5,0.0,1300.0,13589.0
RSY2,9.0,9.1,8.8,9.08,-0.44,6150.0,55638.5
RURU,610.0,618.6,609.0,610.6,0.08,1681.0,1026453.8
SABBL,937.1,957.0,920.0,930.0,-2.21,16593.0,15454141.5
SADBL,415.0,415.0,410.2,413.5,0.0,6438.0,2663666.9
SAEF2,9.0,9.78,9.0,9.13,1.22,8200.0,74998.0
SAGAR,1662.0,1690.0,1635.4,1653.0,-2.76,8483.0,14027130.2
SAGF,9.56,10.0,9.56,10.0,2.04,1200.0,11881.0
SAHAS,675.0,678.9,674.0,677.0,0.3,47545.0,32144569.8
SAIL,1080.0,1103.0,1079.0,1099.0,-0.09,13813.0,15039394.4
SALICO,585.0,590.2,584.0,588.0,-1.82,4437.0,2607080.0
SANIMA,371.0,373.0,369.1,370.0,-0.48,66561.0,24628280.1
SANVI,590.0,598.8,582.0,587.0,-1.34,5206.0,3065116.4
SAPDBL,823.0,823.0,775.0,787.8,-1.51,41272.0,32374354.3
SAPIL,348.4,396.7,348.4,396.7,14.99,60.0,22458.0
SARBTM,797.7,797.7,775.0,794.9,-0.35,6582.0,5146056.7
SBCF,9.67,9.67,9.4,9.41,0.21,2600.0,24751.0
SBI,398.0,404.9,397.2,404.9,0.22,11184.0,4493774.5
SBID83,1066.1,1066.1,1050.0,1050.0,1.44,47.0,49833.0
SBL,414.0,414.0,409.0,411.0,-0.6,54134.0,22280223.4
SBLD2091,1062.0,1062.0,1062.0,1062.0,3.0,25.0,26550.0
SBLD83,1007.0,1007.0,1005.0,1006.2,-3.06,900.0,905460.0
SCB,655.0,659.9,654.0,659.9,0.29,5995.0,3945064.1
SDBD87,1203.8,1203.8,1203.8,1167.7,-5.91,12.0,14373.4
SEF2,9.0,9.32,9.0,9.32,2.42,12250.0,112071.5
SFEF,9.61,10.1,9.61,10.1,2.96,1000.0,10006.0
SGHC,308.0,309.0,299.0,299.0,-1.64,112574.0,33902485.1
SGHL,516.0,525.0,515.1,518.2,0.43,40393.0,20997110.9
SGIC,450.0,455.0,450.0,453.9,-0.68,4867.0,2201702.1
SHEL,308.0,309.0,305.3,306.0,-0.23,36730.0,11249245.0
SHINE,414.7,415.5,410.2,414.9,0.05,9260.0,3813778.1
